C,Mb,M,R,Rp,kl,hl,jl,rhoc
0.0195274728215676,0.208381367231621,0.205655089515473,10.5315773011002,10.758294213405,0.0190878133883574,0.982649517779805,-0.000450337538284776,0.000482470784641068
0.020159027722555,0.212731452792593,0.209876191580426,10.4110274795448,10.6394818554609,0.0203509353204054,0.983537497032483,-0.000489916594091364,0.000487312186978297
0.0207967022771482,0.21714253676472,0.214153676230026,10.2974824265932,10.5277314554795,0.0216437483034777,0.984480745580051,-0.000531612878456898,0.000492153589315526
0.0214405003520227,0.221614120664464,0.218486932212296,10.1903840220634,10.4224818192424,0.0229648067778327,0.985476697690536,-0.000575451811555292,0.000496994991652755
0.0220905141249437,0.226145537897419,0.222875346572004,10.0891878437696,10.3231846937311,0.0243131535723183,0.986523558239244,-0.000621560027347558,0.000501836393989983
0.022746008823603,0.230736692716175,0.227318303946983,9.99376662999884,10.2297177747969,0.0256833528208604,0.98761239788015,-0.00066965268193701,0.000506677796327212
0.0234074384903674,0.235386630934728,0.23181518605372,9.90348372160056,10.1414370034335,0.0270763360244053,0.988744341752134,-0.000720029457169597,0.000511519198664441
0.0240746541363772,0.240094949708607,0.23636537113524,9.81801731382247,10.0580196248459,0.0284898568963028,0.989915502655123,-0.000772653959704045,0.000516360601001669
0.0247471306946782,0.24486117504088,0.240968233549298,9.73721909510576,9.97932028198327,0.029919382209823,0.99111815514354,-0.000827404619573194,0.000521202003338898
0.0254249905827083,0.249684694855158,0.245623143417198,9.66069751798641,9.9049438032877,0.0313641298116334,0.992350687080617,-0.000884380017945502,0.000526043405676127
0.0261086742167323,0.254564968697783,0.250329466337695,9.58798077066917,9.83441174355422,0.0328254762538464,0.993615188806027,-0.00094367298332407,0.000530884808013356
0.0267971690447238,0.259501352556665,0.255086563068521,9.5191608726574,9.7678241066153,0.0342957597048108,0.994898541108623,-0.00100515090476804,0.000535726210350584
0.0274908670254871,0.264493684425305,0.259893789405698,9.45382294289764,9.70476000258237,0.0357761692006484,0.996202518059322,-0.00106872649528079,0.000540567612687813
0.0281896408117747,0.26954091156766,0.264750495987436,9.39176549836885,9.6450171614362,0.0372645392081368,0.997523183476404,-0.00113463393584481,0.000545409015025042
0.0288934793311433,0.274642567118127,0.269656028179458,9.33276415377241,9.58836938192607,0.0387596513306962,0.998858276461149,-0.00120279616544632,0.00055025041736227
0.0296017556070628,0.279798527422788,0.274609726023083,9.27680539182489,9.53480736716567,0.0402562254009029,1.00019848781666,-0.00127291360809807,0.000555091819699499
0.0303148307994841,0.285007670491539,0.279610924172957,9.22356868895062,9.48400516825174,0.0417554462264899,1.00154562538054,-0.00134532557750729,0.000559933222036728
0.0310330905168843,0.290269385560733,0.284658951900144,9.17275550578079,9.43565874859615,0.0432589962259034,1.00290253214601,-0.00142013171262443,0.000564774624373957
0.0317554966416155,0.295583710463831,0.289753133874825,9.1245032992211,9.38991386360929,0.044758874444064,1.00425505218709,-0.00149682328758207,0.000569616026711185
0.0324827460726313,0.300949380965562,0.294892810191182,9.07844458506686,9.34639462565926,0.0462588971585363,1.00560973842467,-0.0015758579182271,0.000574457429048414
0.0339493873775086,0.311833151659146,0.305306076947622,8.9929775036202,9.26611947401482,0.0492391521156535,1.00828913904648,-0.00174010493141203,0.000584140233722871
0.0354328848197579,0.322917031176081,0.315893587179845,8.91526582683718,9.19373377269169,0.0521927046126214,1.01092711676577,-0.0019125645564503,0.000593823038397329
0.0361807688992334,0.328532205452923,0.321251055794296,8.87905551949458,9.16023478989501,0.0536564014756378,1.01222476680361,-0.00200194802551614,0.000598664440734558
0.0369320314458622,0.334195793485205,0.326650125607735,8.84462925053455,9.12855685113733,0.0551053972367195,1.0134971805612,-0.00209310775558116,0.000603505843071786
0.0376876906569404,0.339906793789631,0.332090136934795,8.81163401487533,9.09833599116983,0.0565466812841538,1.0147569982025,-0.00218648265501055,0.000608347245409015
0.0384463334386725,0.345664824408267,0.337570427159492,8.78030222824671,9.06981649679634,0.0579693130014256,1.01598410213471,-0.00228154195723327,0.000613188647746244
0.0392092958133809,0.351469244606807,0.343090330789781,8.75022934415198,9.04257997655498,0.0593829062704137,1.01719607279218,-0.0023787608452346,0.000618030050083473
0.0399755054712665,0.35731949664543,0.348649179624663,8.72157025944961,9.01678999822131,0.0607790604107316,1.01837735721143,-0.00247781696885445,0.000622871452420701
0.0407458457400098,0.363214955977404,0.354246302803224,8.69404711988534,8.99215925054278,0.0621642928366251,1.0195400069247,-0.0025788822623976,0.00062771285475793
0.0415186713328578,0.36915498612478,0.359881027017916,8.66793217279829,8.96897391247948,0.0635257886512609,1.02066009403605,-0.00268154176664567,0.000632554257095159
0.042296353440282,0.375138747347627,0.365552676602117,8.64265230614359,8.94663769186661,0.0648815112776989,1.02177110628938,-0.00278657451353941,0.000637395659432387
0.0430750849318693,0.381166231554557,0.37126057369153,8.61891681185872,8.92589381604698,0.0662022984152157,1.02281840191314,-0.00289255641550048,0.000642237061769616
0.0438588184581751,0.3872362776855,0.377004038392388,8.5958548735623,8.90583375927275,0.0675183267626815,1.02385853028004,-0.00300094956296853,0.000647078464106845
0.0446446454096003,0.393348727674637,0.382782388923285,8.57398206238127,8.8869987183649,0.0688073518880975,1.02484963779662,-0.00311061702233623,0.000651919866444074
0.0462257628529809,0.405696720188776,0.394441011946345,8.5329259616731,8.852091647935,0.0713286386500462,1.02673013522738,-0.00333544848288983,0.000661602671118531
0.047020580990733,0.411931890769335,0.40031991298601,8.51371685655918,8.83599586490582,0.0725577280719564,1.0276135127817,-0.00345010489921093,0.00066644407345576
