C,Mb,M,R,Rp,kl,hl,jl,rhoc
0.0237701707306104,0.185010280654205,0.183382664784926,7.71482320691842,7.86653439848119,0.0739582912708577,1.08618939461351,-0.0016224323586978,0.000504006677796327
0.0246061823318127,0.190499806084246,0.188738163393233,7.6703553947586,7.82486628794695,0.0765771592985597,1.08961841375654,-0.00172847844748392,0.000511853088480801
0.025451846630292,0.196084596690033,0.194181818293091,7.6293803398132,7.78674398505468,0.0791713827763159,1.09299731625789,-0.00183844666562725,0.000519699499165275
0.0263067036352439,0.201762723882684,0.199711380527806,7.59165356849372,7.75192277640713,0.0817342238251487,1.09631337105261,-0.00195181439245466,0.00052754590984975
0.027170472156826,0.207532051775687,0.20532468925456,7.55690545491592,7.72013152859314,0.0842614386403434,1.09955854463074,-0.00206879132230955,0.000535392320534224
0.0280431456240596,0.213390624761251,0.211019662229064,7.52482139692701,7.69105213836474,0.0867533692604452,1.10273377233149,-0.00218947666390303,0.000543238731218698
0.0289243108254906,0.219336714731734,0.216794287356874,7.49522741146235,7.66451056524978,0.0892043738855818,1.10582825234488,-0.00231364079710189,0.000551085141903172
0.0298133743748697,0.225368462257767,0.222646615381544,7.4680112550164,7.64039602013291,0.0916062175645148,1.10882597610555,-0.00244103050232414,0.000558931552587646
0.0307106678375059,0.231483953818903,0.228574753452965,7.44284541978649,7.61837533384857,0.0939648736098006,1.11173884789858,-0.00257203471352857,0.00056677796327212
0.0316155765451029,0.237681848769469,0.234576859226086,7.41966096653143,7.5983814708375,0.0962723570957624,1.11455129397161,-0.00270615605998365,0.000574624373956594
0.0325271342652401,0.243960587747578,0.240651136023191,7.3984733503056,7.5804345985469,0.0985154541256107,1.11723718204919,-0.00284297133506371,0.000582470784641068
0.0334465486378966,0.250318091964773,0.2467958283846,7.37881301465493,7.56405304984759,0.100713844869137,1.11983559341017,-0.0029832974424959,0.000590317195325543
0.0343727157438478,0.256753137869466,0.253009218066019,7.3607572922516,7.54932016799094,0.102852755378685,1.12231728631367,-0.00312641749734759,0.000598163606010017
0.0353051882885833,0.263264036914522,0.259289620799415,7.34423560299385,7.53616630080473,0.104927255684098,1.12467237901773,-0.003272334063721,0.000606010016694491
0.0362450847293795,0.269849240762618,0.26563538312566,7.32886638585623,7.52419878501463,0.10695595502542,1.12693810576217,-0.00342157092271002,0.000613856427378965
0.0371905706007043,0.276507460106823,0.272044879804452,7.3148885701501,7.51366844691413,0.108913985044082,1.12906472405279,-0.00357307471287325,0.000621702838063439
0.0381418677457456,0.283237087558686,0.278516511613559,7.30212042761395,7.50438952160533,0.110806791532361,1.13106300421283,-0.0037271745298207,0.000629549248747913
0.0390991179412204,0.290036720076057,0.285048703128719,7.29041262662872,7.49620938619436,0.112639043310422,1.13294230759623,-0.00388372239283801,0.000637395659432387
0.0400630579194836,0.296904672979299,0.291639901160159,7.27952174160743,7.48887667488934,0.114423234042485,1.13472779186568,-0.00404348924738343,0.000645242070116861
0.0410317628217362,0.303839996642265,0.298288572923937,7.26969918937826,7.48265566775215,0.116134620537155,1.1363694974881,-0.00420512716208853,0.000653088480801336
0.0420046443377122,0.310841347331309,0.304993204875817,7.26094006233474,7.47754395045381,0.117767837378283,1.13785631412551,-0.00436827425698246,0.00066093489148581
0.0429846636946372,0.317906701913835,0.311752301662712,7.25264024111946,7.47291238336433,0.119366523379391,1.13927665738185,-0.00453496773248867,0.000668781302170284
0.0439675461808546,0.325035373139115,0.318564384628098,7.24544379433244,7.46943625806539,0.120874265316258,1.1405158157521,-0.00470250293147217,0.000676627712854758
0.0449561107934006,0.332225652238658,0.325427991389383,7.23879325070873,7.46653428518505,0.122332715332112,1.14165836999408,-0.0048726039568251,0.000684474123539232
0.0459501497967579,0.339476145869,0.332341674794929,7.232657048234,7.46417460464854,0.123741428146722,1.14270343871111,-0.0050451850753073,0.000692320534223706
0.0469475291813594,0.346785903686597,0.339304002261022,7.22730265420963,7.46263943118097,0.125074622184753,1.14359816197031,-0.0052188501144517,0.00070016694490818
0.0479502587952862,0.354153173415172,0.346313555459579,7.22235008027993,7.46153125088894,0.126361534938052,1.14440225170184,-0.0053951498354599,0.000708013355592654
0.04895615702522,0.361577020420748,0.35336892935431,7.21806920368095,7.46113519483515,0.127576525830247,1.14506296069792,-0.00557245678449108,0.000715859766277129
0.049966705257168,0.36905585061734,0.36046873227084,7.21417852979467,7.46115643152783,0.128741626752478,1.14562542414317,-0.00575184313295651,0.000723706176961603
0.0509806097330318,0.37658847628617,0.367611585240374,7.21081185896818,7.46173710006058,0.12984286700355,1.14606067695958,-0.0059325599708621,0.000731552587646077
0.0519974115333474,0.384173713814541,0.374796121787099,7.20797652680715,7.462886421944,0.130877451798782,1.14636266937311,-0.00611434122116184,0.000739398998330551
0.0530204756485373,0.391810112702725,0.382020987708799,7.20515957346637,7.46406341947804,0.131890355926871,1.14662456458961,-0.00629917537928905,0.000747245409015025
0.0540442695372409,0.399496192289187,0.389284840895123,7.20307341052828,7.46602215003441,0.132815029754788,1.14670801829118,-0.00648388738709311,0.000755091819699499
0.0550728038522855,0.407231769263445,0.396586350916109,7.20112874550241,7.46814027582337,0.133704532506074,1.14672321265185,-0.00667049589189199,0.000762938230383973
0.0561035039406996,0.415014048699095,0.403924199560254,7.19962517826329,7.47073592525315,0.134529296380808,1.14660825458425,-0.00685807542957943,0.000770784641068448
0.0571382918496911,0.422843394001601,0.411297079768898,7.19827398499876,7.47350371675936,0.135315908064303,1.14641862892338,-0.00704722164505443,0.000778631051752922
