C,Mb,M,R,Rp,kl,hl,jl
0.00406442817147714,0.0808465818431526,0.0808217481531418,19.8851461369949,19.9854737037869,0.0195263633775068,1.02724470811239,-0.000101313763294267
0.00410924296290712,0.0809035606189796,0.0808784504673471,19.6820804214821,19.782498139477,0.0195095048407147,1.02708117227508,-0.000102324131717685
0.00415437876663106,0.0809602318687579,0.080934881672386,19.4818253748247,19.5823373060533,0.0194874910616834,1.02690395484167,-0.000103383708822569
0.0041996969763195,0.0810165311860674,0.0809909824337298,19.2849586268741,19.385570239824,0.0194585639212588,1.02671641986877,-0.00010448815699939
0.00424656003164542,0.081072347308885,0.0810465647772487,19.0852276132419,19.1859150100119,0.0194574931264819,1.02658029647876,-0.000105692540976671
0.00429257481397947,0.0811275826069509,0.0811015302318705,18.8934459494451,18.9942308049439,0.0194298822377609,1.02639039701357,-0.000106699680836764
0.0043873802615126,0.0812382955160388,0.0812117290579162,18.5103009580294,18.6112826825048,0.0193734885394692,1.02600532652985,-0.000108834400867057
0.004438133286577,0.0812939503812093,0.0812671361800123,18.3111076059393,18.412149583175,0.0193908865759658,1.02589307076953,-0.000110213418819195
0.00448535043637874,0.0813471959001376,0.0813201363816797,18.1301634142401,18.2312991086271,0.0193647291062952,1.02570324125263,-0.00011129741908856
0.0045300556315389,0.0813964676981514,0.0813691916337304,17.9620733721737,18.0632999035754,0.0193365821455257,1.02551951659536,-0.00011232661473307
0.00457899419487817,0.0814475875376602,0.0814200672004446,17.7812121473132,17.8825246128223,0.0193189811069208,1.02534038794994,-0.000113485537003058
0.00464016055056363,0.0815106222700261,0.0814828016519091,17.5603410192373,17.6617629781264,0.0192924488127468,1.02511149916682,-0.000114918955964044
0.00483723862474079,0.0817841475816608,0.0817550105200767,16.9011737609818,17.002825602966,0.0193601642200964,1.02467901132448,-0.000120260569612111
0.00498643818585426,0.0821333924273624,0.0821025881283635,16.4651771601773,16.5670840584932,0.0193906678536283,1.02431154790565,-0.000124263446552769
0.00518441912053469,0.0827490404255856,0.0827150641555153,15.9545480858007,16.0567502218529,0.0195829097429177,1.02412974723214,-0.000130146037693407
0.00543024017604889,0.0836891554052638,0.0836501567979568,15.4045040524933,15.5070640685096,0.0199761823945347,1.02421743542414,-0.000138339076724402
0.00571144156780009,0.0849760628621793,0.0849297896967052,14.8701144340724,14.9732639014324,0.0204159908208197,1.02429860847676,-0.000147645972401456
0.00604704547577381,0.086653312560119,0.0865971208304476,14.3205671558748,14.4243624708785,0.0211786187468177,1.02487938563532,-0.000160490312268238
0.00643692204553623,0.0887795187496222,0.088709986689519,13.7814293946648,13.8860892919912,0.0221572655665386,1.02574592448769,-0.000176415120743553
0.00689100391573549,0.0913974285278635,0.0913103567449002,13.2506609866227,13.3563638845457,0.0234792875851684,1.0271304240241,-0.000196801238005223
0.0079832943858929,0.0981936011458613,0.0980557211793354,12.2826137230524,12.3912319164065,0.0270142557668132,1.03120788850322,-0.000251850565925896
0.00862588234206894,0.10241164310877,0.102238554391439,11.8525329162926,11.9630492194427,0.0292940006904441,1.03403369080314,-0.000288205324673276
0.00933582939145047,0.107208305370049,0.106991898427738,11.4603527915493,11.5730874942208,0.0319439356797591,1.03744088631952,-0.000331695077522546
0.0101200842670175,0.112605238461875,0.112336035658554,11.1003063506762,11.2155379812342,0.0350665134603989,1.04162653573598,-0.000384465625523096
0.0109797983116655,0.118622339535616,0.118289305976298,10.7733587283313,10.8913871001345,0.038665634607337,1.04660428188699,-0.000447853892354501
0.0119031695683507,0.12528086825032,0.124871180317467,10.4905823277092,10.6118651748379,0.0425050214859815,1.05193252011659,-0.000520044123070949
0.0129127689084445,0.132605229672646,0.132104080807313,10.2304998830205,10.3552835028114,0.0469436891521061,1.05829478148238,-0.000607136961379366
0.0151606057862124,0.149362066100433,0.148623973898776,9.80330047457203,9.93628882630418,0.0568590603523031,1.0726946693389,-0.000823447762005294
0.0163999570193169,0.158855427904484,0.157966352824466,9.63211992802192,9.76986986521342,0.0622069355261812,1.08048740591152,-0.00095422486895027
0.0177272378890529,0.169136877869659,0.168070929346479,9.48094285180595,9.6238359674193,0.0679050595396887,1.08884997974652,-0.00110425019243138
0.0191395561560893,0.180243685000637,0.178971116557685,9.35084988900046,9.49933943739095,0.0737991903177009,1.09748492490698,-0.00127336639068491
0.0206387916725207,0.192215508755462,0.190702538285567,9.24000500181779,9.39457106063874,0.079816438393686,1.10624930573868,-0.00146248561954541
0.0222425234161894,0.2050949693392,0.203302813073495,9.1402764546724,9.30128018643403,0.0861818555216808,1.11558428592314,-0.00167831330483177
0.0239305793298138,0.21892653623027,0.21681139892653,9.06001463392974,9.22805976475373,0.0923848384702763,1.12448736284885,-0.00191364695731983
0.0257247730711104,0.233757519028963,0.231269501931471,8.99014740741067,9.16568501429479,0.0987234816633158,1.13354336702349,-0.00217680666121096
0.0276248434908282,0.249637498708947,0.246719973856833,8.93109037662953,9.11463081421206,0.10506514671653,1.1424905649508,-0.00246785691438964
0.0296314954370616,0.266617830002549,0.26320698296923,8.88267632419333,9.07478188179957,0.111295797674453,1.15110080053146,-0.00278688935222762
0.0339518894698534,0.30409255988902,0.299471483376067,8.82046590196325,9.03174853099258,0.122708702320515,1.16585697671874,-0.00349868901480487
0.0362876923183434,0.32469828163644,0.319340663717867,8.80024722752736,9.0220622489657,0.128069647659396,1.17235201222106,-0.00390024690117774
0.0387629314859928,0.346626260170883,0.340429316536338,8.78234187884767,9.01519619148139,0.133438285528578,1.17874203276207,-0.00434324327709172
