C,Mb,M,R,Rp,kl,hl,jl,rhoc
0.0213076275529295,0.165020560139967,0.163790504260742,7.686942333391,7.82672705870378,0.0650267468006989,1.07369327954434,-0.0013014985088589,0.000464774624373957
0.0227591948111042,0.174504940526645,0.173064174015069,7.60414309255929,7.74842567140766,0.0702951213726718,1.08103709134437,-0.00147790884052374,0.000472621035058431
0.0242644246534579,0.184499003158549,0.182821115424617,7.53453329455159,7.68356473715646,0.0756709892846079,1.08855908994128,-0.00167101172780577,0.000480467445742905
0.0258225125537211,0.19500388471427,0.193060443068868,7.47643912137619,7.6304647086309,0.0811194444203072,1.09619630084243,-0.00188144406167513,0.000488313856427379
0.0274319295352135,0.206021812613997,0.203781553501057,7.42862631079119,7.58789243262835,0.086594655179518,1.10386359848976,-0.00210889208732256,0.000496160267111853
0.0290909371791409,0.217554132575173,0.214984000488272,7.39006788143017,7.55482455994163,0.09204762959279,1.11146833291408,-0.00235356569045038,0.000504006677796327
0.0307996660884526,0.229602964518172,0.226667383288512,7.3594104117088,7.52989757875455,0.0974605465457674,1.11897837028836,-0.00261618067073539,0.000511853088480801
0.0325558587629821,0.242170618371847,0.238831248112417,7.33604509870838,7.51251181030637,0.102780473992188,1.12629152797319,-0.00289579805016016,0.000519699499165275
0.0343592416855441,0.255259095791824,0.251475002097943,7.31899162383859,7.50168115421036,0.10798798319176,1.13337110620003,-0.00319272539190804,0.00052754590984975
0.0362085824182096,0.268870118222985,0.264597838127851,7.30760003448196,7.49675767970791,0.113051428158389,1.14015549719196,-0.0035066441809583,0.000535392320534224
0.0381030645247217,0.2830054955258,0.278198670021183,7.30121509887174,7.49708519089784,0.117948513817173,1.14660111137656,-0.00383753048259328,0.000543238731218698
0.0400422315788994,0.297666160269564,0.292276076613954,7.29919550158067,7.5020187976139,0.122665602659808,1.15268140230613,-0.00418532008542958,0.000551085141903172
0.0420229553513637,0.312853981546461,0.306828253836489,7.30144396725614,7.51147851965463,0.127151623037852,1.15829300280188,-0.00454822727487039,0.000558931552587646
0.0440461266561629,0.328569193962531,0.321852974350313,7.30717996755523,7.52466989584021,0.131419625961547,1.16346229792371,-0.00492702831219919,0.00056677796327212
0.0461119091235752,0.344812177828311,0.337347553248332,7.31584442414378,7.54102531998084,0.135473508005545,1.16819740383103,-0.00532204401177426,0.000574624373956594
0.048216494847042,0.361582922997097,0.353308819508144,7.32755088541694,7.56068102718368,0.139262045567957,1.17239229449405,-0.005730784290603,0.000582470784641068
0.0503615487271358,0.378880853827361,0.369733093323696,7.34157512365135,7.58289214549487,0.142816105232495,1.17610989522842,-0.00615465232773373,0.000590317195325543
0.0525446377464064,0.39670467397603,0.386616167293467,7.3578615035729,7.60761460366862,0.146109918311086,1.17929568085171,-0.00659206383526456,0.000598163606010017
0.0547640746161163,0.415052695817205,0.403953292641244,7.3762461152291,7.63469001422455,0.149131143924328,1.1819221194979,-0.00704221664165706,0.000606010016694491
0.0570205648138088,0.433923150525748,0.421739168863797,7.39626431693401,7.66363984701994,0.151902847855327,1.18403607091844,-0.00750533140061681,0.000613856427378965
0.0593126142020054,0.453313894476333,0.439967937552837,7.41778023902985,7.69433159770053,0.154418905691575,1.1856229717635,-0.00798053624122688,0.000621702838063439
0.0616377180083283,0.473220414329978,0.458633179497112,7.44078778898244,7.72677060060935,0.156662149965531,1.18664404799522,-0.00846650951954009,0.000629549248747913
0.0639973409985635,0.493639642071148,0.477727914467816,7.46480880320542,7.76045734592137,0.158668409890625,1.18717362240348,-0.00896427539942412,0.000637395659432387
0.0663851944186298,0.514566396546436,0.497244604359173,7.49029371253343,7.79588464286737,0.160378068759072,1.18708081789139,-0.00946944913723659,0.000645242070116861
0.0688107106589972,0.535996728215088,0.517175159230658,7.51591073944295,7.83163194674794,0.161923623495899,1.18664960817512,-0.00998912720158002,0.000653088480801336
0.0712557512856566,0.55792457833153,0.537510945115872,7.54340436270259,7.86958540485422,0.163110678116378,1.18545487061963,-0.0105099806716209,0.00066093489148581
0.0737384337234578,0.580343972120921,0.558242795384306,7.5705811365331,7.90738797531309,0.164169521380825,1.18399591605633,-0.0110457984333484,0.000668781302170284
0.0762493362390083,0.603248258928856,0.579361023178183,7.59824349633864,7.94590988073257,0.165009805754076,1.1820736976489,-0.0115898728748095,0.000676627712854758
0.0787786893547088,0.626629700914835,0.600855436416377,7.62713166895892,7.98596406966029,0.165548571503051,1.17950086493243,-0.0121348564848489,0.000684474123539232
0.0813427312104496,0.65048080851894,0.622715354942543,7.65545176165103,8.02560409310549,0.165978711390228,1.17670261010122,-0.0126936529801321,0.000692320534223706
0.0839241162589459,0.67479291861287,0.64492962866965,7.68467584072896,8.06644025284233,0.166140591433247,1.17332046035155,-0.0132529329795619,0.00070016694490818
0.0865273269539915,0.699557146880688,0.667486658494884,7.71417171883515,8.10778891960539,0.166103305385857,1.1695049386059,-0.0138165719889297,0.000708013355592654
0.0891515380477796,0.724764074023991,0.690374417486801,7.74383070224547,8.14953560488794,0.165880189850837,1.16528290762199,-0.0143842294315024,0.000715859766277129
0.0917956531305397,0.750403428742359,0.713580474086948,7.77357586935176,8.19159965747463,0.165481794146246,1.16067520640862,-0.0149553818209138,0.000723706176961603
0.094458187641867,0.776465096399356,0.737092016524364,7.80336818782728,8.2339415584737,0.164915194868669,1.15569490508083,-0.0155292089977772,0.000731552587646077
0.0971549640369245,0.802939005572411,0.760895877896802,7.83177561166733,8.27496937219511,0.164333940766688,1.15069448116445,-0.0161192977125087,0.000739398998330551
